experiment,epoch,timestamp,source,grad_norm,train_loss,lr
0028_20260917_dino_lr_half,77,20260918-044256,log_195710.txt,0.7842,1.5829,0.000954
0028_20260917_dino_lr_half,78,20260918-044942,log_195710.txt,0.772,1.5812,0.000953
0028_20260917_dino_lr_half,79,20260918-045629,log_195710.txt,0.7473,1.5771,0.000951
0028_20260917_dino_lr_half,80,20260918-050316,log_195710.txt,0.7744,1.5773,0.00095
0028_20260917_dino_lr_half,81,20260918-051020,log_195710.txt,0.7746,1.5738,0.000948
0028_20260917_dino_lr_half,82,20260918-051707,log_195710.txt,0.7896,1.573,0.000947
0028_20260917_dino_lr_half,83,20260918-052354,log_195710.txt,0.7948,1.573,0.000946
0028_20260917_dino_lr_half,84,20260918-053041,log_195710.txt,0.776,1.5708,0.000944
0028_20260917_dino_lr_half,85,20260918-053728,log_195710.txt,0.8153,1.571,0.000943
0028_20260917_dino_lr_half,86,20260918-054433,log_195710.txt,0.8003,1.5695,0.000941
0028_20260917_dino_lr_half,87,20260918-055119,log_195710.txt,0.7875,1.5686,0.000939
0028_20260917_dino_lr_half,88,20260918-055806,log_195710.txt,0.7974,1.5649,0.000938
0028_20260917_dino_lr_half,89,20260918-060453,log_195710.txt,0.8292,1.5686,0.000936
0028_20260917_dino_lr_half,90,20260918-061140,log_195710.txt,0.8213,1.5703,0.000935
0028_20260917_dino_lr_half,91,20260918-061844,log_195710.txt,0.8293,1.57,0.000933
0028_20260917_dino_lr_half,92,20260918-062531,log_195710.txt,0.8119,1.5668,0.000931
0028_20260917_dino_lr_half,93,20260918-063218,log_195710.txt,0.8751,1.5704,0.00093
0028_20260917_dino_lr_half,94,20260918-063905,log_195710.txt,0.9231,1.575,0.000928
0028_20260917_dino_lr_half,95,20260918-064551,log_195710.txt,0.837,1.5689,0.000926
0028_20260917_dino_lr_half,96,20260918-065256,log_195710.txt,0.8604,1.5668,0.000925
0028_20260917_dino_lr_half,97,20260918-065943,log_195710.txt,0.8608,1.5656,0.000923
0028_20260917_dino_lr_half,98,20260918-070630,log_195710.txt,0.8544,1.5668,0.000921
0028_20260917_dino_lr_half,99,20260918-071317,log_195710.txt,0.8351,1.5629,0.000919
0028_20260917_dino_lr_half,100,20260918-072003,log_195710.txt,0.8477,1.564,0.000918
0028_20260917_dino_lr_half,101,20260918-072709,log_195710.txt,0.8527,1.5625,0.000916
